SWV Data Trace - Watch
"0";"mmActVel";"88.00659"
SWV Data Trace - History
"WRITE";"0.0";"";"470919380";"4.709194 s"
"WRITE";"0.0";"";"471019392";"4.710194 s"
"WRITE";"0.0";"";"471119390";"4.711194 s"
"WRITE";"0.0";"";"471219389";"4.712194 s"
"WRITE";"0.0";"";"471319388";"4.713194 s"
"WRITE";"0.0";"";"471419387";"4.714194 s"
"WRITE";"88.00379";"";"471520009";"4.715200 s"
"WRITE";"0.0";"";"471619442";"4.716194 s"
"WRITE";"0.0";"";"471719442";"4.717194 s"
"WRITE";"0.0";"";"471819440";"4.718194 s"
"WRITE";"0.0";"";"471919439";"4.719194 s"
"WRITE";"88.00379";"";"472020004";"4.720200 s"
"WRITE";"0.0";"";"472119437";"4.721194 s"
"WRITE";"0.0";"";"472219436";"4.722194 s"
"WRITE";"0.0";"";"472319583";"4.723196 s"
"WRITE";"0.0";"";"472419434";"4.724194 s"
"WRITE";"88.00378";"";"472520015";"4.725200 s"
"WRITE";"0.0";"";"472619449";"4.726194 s"
"WRITE";"0.0";"";"472719478";"4.727195 s"
"WRITE";"0.0";"";"472819447";"4.728194 s"
"WRITE";"88.0038";"";"472919995";"4.729200 s"
"WRITE";"0.0";"";"473019428";"4.730194 s"
"WRITE";"0.0";"";"473119427";"4.731194 s"
"WRITE";"0.0";"";"473219426";"4.732194 s"
"WRITE";"88.00378";"";"473320007";"4.733200 s"
"WRITE";"0.0";"";"473419441";"4.734194 s"
"WRITE";"88.00378";"";"473520005";"4.735200 s"
"WRITE";"0.0";"";"473619439";"4.736194 s"
"WRITE";"0.0";"";"473719438";"4.737194 s"
"WRITE";"88.00383";"";"473820002";"4.738200 s"
"WRITE";"0.0";"";"473919436";"4.739194 s"
"WRITE";"88.00378";"";"474020174";"4.740202 s"
"WRITE";"0.0";"";"474119417";"4.741194 s"
"WRITE";"88.00378";"";"474220000";"4.742200 s"
"WRITE";"0.0";"";"474319434";"4.743194 s"
"WRITE";"88.00378";"";"474419996";"4.744200 s"
"WRITE";"0.0";"";"474519430";"4.745194 s"
"WRITE";"88.00383";"";"474619994";"4.746200 s"
"WRITE";"0.0";"";"474719428";"4.747194 s"
"WRITE";"88.00373";"";"474819992";"4.748200 s"
"WRITE";"0.0";"";"474919426";"4.749194 s"
"WRITE";"88.00383";"";"475019990";"4.750200 s"
"WRITE";"0.0";"";"475119424";"4.751194 s"
"WRITE";"88.00383";"";"475219988";"4.752200 s"
"WRITE";"0.0";"";"475319422";"4.753194 s"
"WRITE";"88.00373";"";"475419986";"4.754200 s"
"WRITE";"0.0";"";"475519420";"4.755194 s"
"WRITE";"88.00383";"";"475619968";"4.756200 s"
"WRITE";"0.0";"";"475719549";"4.757195 s"
"WRITE";"88.00383";"";"475819984";"4.758200 s"
"WRITE";"88.00373";"";"475919983";"4.759200 s"
"WRITE";"0.0";"";"476019417";"4.760194 s"
"WRITE";"88.00383";"";"476120009";"4.761200 s"
"WRITE";"0.0";"";"476219413";"4.762194 s"
"WRITE";"88.00373";"";"476319977";"4.763200 s"
"WRITE";"88.00392";"";"476419976";"4.764200 s"
"WRITE";"0.0";"";"476519410";"4.765194 s"
"WRITE";"88.00373";"";"476619974";"4.766200 s"
"WRITE";"0.0";"";"476719408";"4.767194 s"
"WRITE";"88.00373";"";"476819972";"4.768200 s"
"WRITE";"88.00373";"";"476919971";"4.769200 s"
"WRITE";"0.0";"";"477019405";"4.770194 s"
"WRITE";"88.00392";"";"477119969";"4.771200 s"
"WRITE";"88.00373";"";"477219968";"4.772200 s"
"WRITE";"0.0";"";"477319402";"4.773194 s"
"WRITE";"88.00373";"";"477420156";"4.774202 s"
"WRITE";"88.00392";"";"477519965";"4.775200 s"
"WRITE";"0.0";"";"477619399";"4.776194 s"
"WRITE";"88.00373";"";"477719963";"4.777200 s"
"WRITE";"88.00373";"";"477819962";"4.778200 s"
"WRITE";"0.0";"";"477919396";"4.779194 s"
"WRITE";"88.00392";"";"478019960";"4.780200 s"
"WRITE";"88.00373";"";"478119943";"4.781199 s"
"WRITE";"88.00373";"";"478219960";"4.782200 s"
"WRITE";"0.0";"";"478319394";"4.783194 s"
"WRITE";"88.00392";"";"478419958";"4.784200 s"
"WRITE";"88.00373";"";"478519957";"4.785200 s"
"WRITE";"88.00373";"";"478619956";"4.786200 s"
"WRITE";"0.0";"";"478719390";"4.787194 s"
"WRITE";"88.00373";"";"478819952";"4.788200 s"
"WRITE";"88.00392";"";"478919951";"4.789200 s"
"WRITE";"0.0";"";"479019385";"4.790194 s"
"WRITE";"88.00392";"";"479120097";"4.791201 s"
"WRITE";"88.00354";"";"479219948";"4.792199 s"
"WRITE";"88.00392";"";"479319947";"4.793199 s"
"WRITE";"0.0";"";"479419381";"4.794194 s"
"WRITE";"88.00392";"";"479519975";"4.795200 s"
"WRITE";"88.00354";"";"479619944";"4.796199 s"
"WRITE";"88.00392";"";"479719943";"4.797199 s"
"WRITE";"88.00354";"";"479819942";"4.798199 s"
